model,samples,BLEU,chrF++,TER,COMET,setting
Baseline NLLB,100,19.625554,35.482647,75.675676,0.681784,NLLB baseline or LoRA adaptation
Original LoRA,100,19.768717,36.306458,76.833977,0.677456,NLLB baseline or LoRA adaptation
Semantic LoRA,100,20.375461,36.607515,76.447876,0.681866,NLLB baseline or LoRA adaptation
M2M100 418M,100,14.624331792436562,30.59115161837781,85.42471042471043,0.6168973150849343,External zero-shot baseline
mBART-50,100,22.648188179629976,38.076066851600494,75.77220077220078,0.6932223573327064,External zero-shot baseline
